"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Gamallo P.; Garcia M.; de-Dios-Flores I.","Gamallo, Pablo (56635186300); Garcia, Marcos (57198924640); de-Dios-Flores, Iria (57211576536)","56635186300; 57198924640; 57211576536","Evaluating Contextualized Vectors from both Large Language Models and Compositional Strategies; [Evaluando vectores contextualizados generados a partir de grandes modelos de lenguaje y de estrategias composicionales]","2022","Procesamiento del Lenguaje Natural","69","","","153","164","11","4","10.26342/2022-69-13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139830596&doi=10.26342%2f2022-69-13&partnerID=40&md5=67e27900a316c0c57a5a75c95973fa1b","Centro de Investigación en Tecnoloxías Intelixentes (CITIUS), Universidade de Santiago de Compostela, Galiza, Spain","Gamallo P., Centro de Investigación en Tecnoloxías Intelixentes (CITIUS), Universidade de Santiago de Compostela, Galiza, Spain; Garcia M., Centro de Investigación en Tecnoloxías Intelixentes (CITIUS), Universidade de Santiago de Compostela, Galiza, Spain; de-Dios-Flores I., Centro de Investigación en Tecnoloxías Intelixentes (CITIUS), Universidade de Santiago de Compostela, Galiza, Spain","In this article, we compare contextualized vectors derived from large language models with those generated by means of dependency-based compositional techniques. For this purpose, we make use of a word-in-context similarity task. As all experiments are conducted for the Galician language, we created a new Galician evaluation dataset for this specific semantic task. The results show that compositional vectors derived from syntactic approaches based on selectional preferences are competitive with the contextual embeddings derived from neural-based large language models. © 2022 Sociedad Española para el Procesamiento del Lenguaje Natural.","Comositionality; Contextualized Vectors; Large Language Models; Selection Preferences; Semantic Similarity; Syntactic Dependencies","","Sociedad Espanola para el Procesamiento del Lenguaje Natural","","","","","","11355948","","","Article","Final","","Scopus","2-s2.0-85139830596"
"Guo Y.; He A.J.; Wang F.","Guo, Yu (56463196500); He, Alex Jingwei (56385080500); Wang, Fei (57191071899)","56463196500; 56385080500; 57191071899","Local Policy Discretion in Social Welfare: Explaining Subnational Variations in China's De Facto Urban Poverty Line","2022","China Quarterly","249","","","114","138","24","18","10.1017/S0305741021001168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122007675&doi=10.1017%2fS0305741021001168&partnerID=40&md5=11f7fcdb24dd3dfafe1e681ec92cf2a9","School of Labor and Human Resources, Renmin University of China, Beijing, China; Department of Asian and Policy Studies, The Education University of Hong Kong, Hong Kong","Guo Y., School of Labor and Human Resources, Renmin University of China, Beijing, China; He A.J., Department of Asian and Policy Studies, The Education University of Hong Kong, Hong Kong; Wang F., School of Labor and Human Resources, Renmin University of China, Beijing, China","How do subnational agents exercise policy discretion in the social welfare sphere? To what extent do they do so as a result of various bureaucratic and fiscal incentives? The literature has documented several explanatory frameworks in the context of China that predominantly focus on the realm of developmental policies. Owing to the salient characteristics of the social policy arena, local adaptation of centrally designed policies may operate on distinctive logics. This study synthesizes the recent scholarship on subnational social policymaking and explains the significant interregional disparities in China's de facto urban poverty line - the eligibility standard of the urban minimum livelihood guarantee scheme, or dibao. Five research hypotheses are formulated for empirical examination: fiscal power effect, population effect, fiscal dependency effect, province effect and neighbour effect. Quantitative analysis of provincial-level panel data largely endorses the hypotheses. The remarkable subnational variations in dibao standards are explained by a salient constellation of fiscal and political factors that are embedded within the country's complex intergovernmental relations and fiscal arrangements. Both a race-to-the-top and a race-to-the-bottom may be fostered by distinctive mechanisms. The unique role of provincial governments as intermediary agents within China's political apparatus is illuminated in the social policy arena. Copyright © The Author(s), 2021.","central-local relations; dibao; poverty line; provincial government; race to the bottom; race to the top","China; fiscal policy; panel data; policy development; poverty; race; social policy; urban area; welfare provision","Cambridge University Press","","","","","","03057410","","","Article","Final","","Scopus","2-s2.0-85122007675"
"Fuks M.; Marques P.H.","Fuks, Mario (35098617100); Marques, Pedro Henrique (57940100800)","35098617100; 57940100800","Polarization and context: measuring and explaining political polarization in Brazil; [Polarisation et contexte: mesurer et expliquer la polarisation politique au Brésil]; [Polarização e contexto: medindo e explicando a polarização política no Brasil]; [Polarización y contexto: medición y explicación de la polarización política en Brasil]","2022","Opiniao Publica","28","3","","560","593","33","10","10.1590/1807-01912022283560","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149700531&doi=10.1590%2f1807-01912022283560&partnerID=40&md5=cc3584cc42b88946b339b6398288b8ef","Universidade Federal de Minas Gerais, Faculdade de Filosofia e Ciências Humanas, Departamento de Ciência Política, MG, Belo Horizonte, Brazil","Fuks M., Universidade Federal de Minas Gerais, Faculdade de Filosofia e Ciências Humanas, Departamento de Ciência Política, MG, Belo Horizonte, Brazil; Marques P.H., Universidade Federal de Minas Gerais, Faculdade de Filosofia e Ciências Humanas, Departamento de Ciência Política, MG, Belo Horizonte, Brazil","This article analyzes whether affective polarization and (or) ideological polarization is ongoing in Brazil, what are its characteristics and whether it is concentrated in certain groups in Brazilian society. The research uses data from Eseb (2002 – 2018) and Lapop (2010 – 2019). The results indicate that: 1) there is an increase in polarization, but it is predominantly affective and more intense in relation to the candidates; 2) although there are already some signs in 2014, affective polarization is much more visible in 2018; 3) in ideology, evidence indicates a growth and radicalization of the right, which may eventually contribute to a polarization. Given this evidence, it is concluded that the specific characteristics of Brazilian polarization are related to aspects of our political context, both long-term, such as the reduced social base of the parties, and more recent ones, such as the reorganization of the right and moderation of PT. In common with other countries, there is, in Brazil, the concentration of polarization in politically engaged individuals. © 2022, Opiniao Publica. All Rights Reserved.","affective polarization; Brazil; context; ideological polarization","","Universidade Estadual de Campinas UNICAMP","","","","","","01046276","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85149700531"
"Wen Y.; Liu B.; Cao J.; Xie R.; Song L.","Wen, Yunqian (57221556413); Liu, Bo (55574235154); Cao, Jingyi (57221563042); Xie, Rong (7202459061); Song, Li (7402537534)","57221556413; 55574235154; 57221563042; 7202459061; 7402537534","Divide and Conquer: a Two-Step Method for High Quality Face De-identification with Model Explainability","2023","Proceedings of the IEEE International Conference on Computer Vision","","","","5125","5134","9","16","10.1109/ICCV51070.2023.00475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185877516&doi=10.1109%2fICCV51070.2023.00475&partnerID=40&md5=85c4283ccb0cd1485eacb153734d0d4e","University of Technology Sydney, School of Computer Science, Australia; Shanghai Jiao Tong University, Institute of Image Communication and Network Engineering, China; Shanghai Jiao Tong University, MoE Key Lab of Artificial Intelligence, Ai Institute, China","Wen Y., Shanghai Jiao Tong University, Institute of Image Communication and Network Engineering, China; Liu B., University of Technology Sydney, School of Computer Science, Australia; Cao J., Shanghai Jiao Tong University, Institute of Image Communication and Network Engineering, China; Xie R., Shanghai Jiao Tong University, Institute of Image Communication and Network Engineering, China; Song L., Shanghai Jiao Tong University, Institute of Image Communication and Network Engineering, China, Shanghai Jiao Tong University, MoE Key Lab of Artificial Intelligence, Ai Institute, China","Face de-identification involves concealing the true identity of a face while retaining other facial characteristics. Current target-generic methods typically disentangle identity features in the latent space, using adversarial training to balance privacy and utility. However, this pattern often leads to a trade-off between privacy and utility, and the latent space remains difficult to explain. To address these issues, we propose IDeudemon, which employs a ""divide and conquer""strategy to protect identity and preserve utility step by step while maintaining good explainability. In Step I, we obfuscate the 3D disentangled ID code calculated by a parametric NeRF model to protect identity. In Step II, we incorporate visual similarity assistance and train a GAN with adjusted losses to preserve image utility. Thanks to the powerful 3D prior and delicate generative designs, our approach could protect the identity naturally, produce high quality details and is robust to different poses and expressions. Extensive experiments demonstrate that the proposed IDeudemon outperforms previous state-of-the-art methods. © 2023 IEEE.","","Computer vision; 'current; De-identification; Divide-and-conquer; Generative design; Generic method; High quality; Trade off; True identity; Two step method; Visual similarity; Economic and social effects","Institute of Electrical and Electronics Engineers Inc.","","2023 IEEE/CVF International Conference on Computer Vision, ICCV 2023","2 October 2023 through 6 October 2023","Paris","196783","15505499","979-835030718-4","PICVE","Conference paper","Final","","Scopus","2-s2.0-85185877516"
"Lezama F.; Almeida J.; Soares J.; Vale Z.","Lezama, Fernando (36810077500); Almeida, Jose (57226795979); Soares, Joao (35436109600); Vale, Zita (57203219788)","36810077500; 57226795979; 35436109600; 57203219788","Explainergy: Towards Explainability of Metaheuristic Performance in the Energy Field","2023","2023 IEEE Symposium Series on Computational Intelligence, SSCI 2023","","","","783","788","5","1","10.1109/SSCI52147.2023.10371844","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182921578&doi=10.1109%2fSSCI52147.2023.10371844&partnerID=40&md5=4c049590934f4fc52a604993c840672a","Lasi - Polytechnic of Porto, Gecad, Porto, Portugal","Lezama F., Lasi - Polytechnic of Porto, Gecad, Porto, Portugal; Almeida J., Lasi - Polytechnic of Porto, Gecad, Porto, Portugal; Soares J., Lasi - Polytechnic of Porto, Gecad, Porto, Portugal; Vale Z., Lasi - Polytechnic of Porto, Gecad, Porto, Portugal","We propose the concept of 'explainergy', a new way of including explainability in the metaheuristic performance of algorithms solving problems in the energy domain. To this end, we open the discussion around eXplainable computational Intelligence (XCI), focusing on using metaheuristic optimization for complex energy-related problems. It is well known that computational intelligence applied to optimization cannot guarantee optimality theoretically and also faces issues related to premature convergence, tuning parameters, and variability of the results. These aspects slow the adoption of such methods by energy industry practitioners. Our proposal considers incorporating ideas already applied to the artificial intelligence paradigm, namely those related to eXplainable AI, to motivate current research in this field and provide solutions from metaheuristics with explainability character-istics. Through a case study solving a bidding problem in local electricity markets, we shed light on some ideas that might be advantageous to understanding the metaheuristic performance for energy experts unfamiliar with approximate algorithms. If an XCI framework is successfully developed, it can increase metaheuristic adoption, reliability, and broader success. © 2023 IEEE.","artificial intelligence; explainable computational intelligence; explainable decision support systems; explainergy; metaheuristics","Artificial intelligence; Heuristic algorithms; Optimization; Complex energy; Energy domain; Energy fields; Explainable computational intelligence; Explainable decision support system; Explainergy; Metaheuristic; Metaheuristic optimization; Performance; Performance of algorithm; Decision support systems","Institute of Electrical and Electronics Engineers Inc.","","2023 IEEE Symposium Series on Computational Intelligence, SSCI 2023","5 December 2023 through 8 December 2023","Mexico City","196107","","978-166543065-4","","Conference paper","Final","","Scopus","2-s2.0-85182921578"
"Martínez P.R.","Martínez, Pilar Rodríguez (54903431100)","54903431100","Culturalist Explanations and Confidence in Women’s Organizations According to the World Values Survey (2017-2020); [Las Explicaciones Culturalistas y la Confianza en las Organizaciones de Mujeres Según la Encuesta Mundial de Valores (2017-2020)]","2023","UCJC Business and Society Review","20","77","","114","133","19","0","10.3232/UBR.2023.V20.N2.03","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165959685&doi=10.3232%2fUBR.2023.V20.N2.03&partnerID=40&md5=253d050d4dd20018a436e3e2ce94962c","Universidad de Almería, Spain","Martínez P.R., Universidad de Almería, Spain","In this article, we present the results of a multilevel regression analysis on confidence in women’s organizations using data from the World Values Survey (2017-21). We take as a starting point the proposal of the theories on values proposed by Juan Díez Nicolás to dwell on the modernization theory of Ronald Inglehart and Christian Welzel and, specifically, on their formulation of the culturalist thesis and their classification of cultural regions. Our analysis rejects the explanation of confidence in women’s organizations taking these cultural regions as the subject of analysis, so we take countries and individuals as units of analysis. We present several multilevel models whose results show that postmaterialist values continue to be significant in explaining the variance in trust toward women’s organizations between countries. At the individual level, sex, age, educational level, income, family size, attendance at religious services, political ideology and the use of new media also help to explain the greater or less trust in women’s organizations. In the discussion, we raise some consequences that derive from our results. © 2023, Universia Holding. All rights reserved.","","","Universia Holding","","","","","","26593270","","","Article","Final","","Scopus","2-s2.0-85165959685"
"de Pinho M.C.; Pinho M.M.","de Pinho, Manuel Correia (55602462400); Pinho, Maria Manuel (22952076600)","55602462400; 22952076600","The 2011-2014 Economic Adjustment Programme for Portugal: A Plausible Counterfactual Scenario; [O Programa de Ajustamento Económico para Portugal, 2011-2014: Um Cenário Contrafactual Plausível]","2022","Notas Economicas","2022","55","","67","96","29","0","10.14195/2183-203X_55_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190159375&doi=10.14195%2f2183-203X_55_3&partnerID=40&md5=916546317b12462abfd443e228677efa","Porto, Portugal; Universidade do Porto, CEFUP, Faculdade de Economia, Portugal","de Pinho M.C., Porto, Portugal; Pinho M.M., Universidade do Porto, CEFUP, Faculdade de Economia, Portugal","The 2007 global financial crisis triggered a severe sovereign debt crisis in Portugal, which led to the need to comply with an Economic Adjustment Programme (EAP) based on fiscal consolidation, among other pillars. According to our literature review, the economic environment in which the adjustment takes place matters. Also, the composition of the adjustment seems to be relevant to its effectiveness, with expenditure-based plans being less contractionary (or even expansionary) than tax-based plans. Our purpose is to understand, through a VAR model, which path the Portuguese economy would have followed without the EAP. Our results suggest that the austerity programme may have been harmful to economic activity in the short run, but in a longer horizon it produced a better outcome than if the EAP had not been implemented. In the absence of the EAP, the tax to GDP ratio would have been below the current ratio, with the inverse happening for the primary public expenditure ratio and for the public debt interest rate. Overall, our results support the likelihood of less disciplined fiscal accounts in the absence of the EAP. © 2022, Imprensa da Universidade de Coimbra. All rights reserved.","adjustment programme; counterfactual; fiscal consolidation; vector autoregressive","","Imprensa da Universidade de Coimbra","","","","","","08724733","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85190159375"
"Kallenbach A.","Kallenbach, Avi (57939882600)","57939882600","Explaining the Diversity of the Lurianic Corpus: The Disparate Hermeneutical Approaches of R. Menahem Azaria da Fano and R. Menahem de Lonzano","2022","Journal of Jewish Thought and Philosophy","30","2","","251","282","31","1","10.1163/1477285x-12341340","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140444035&doi=10.1163%2f1477285x-12341340&partnerID=40&md5=636d126b8e1fd42fe1ec105557700b1f","Department of Jewish Philosophy, Bar-Ilan University, Jerusalem, Israel","Kallenbach A., Department of Jewish Philosophy, Bar-Ilan University, Jerusalem, Israel","The kabbalistic writings penned by the students of Isaac Luria contained diverse viewpoints that were often at odds. At the beginning of the seventeenth century, two major approaches emerged to contend with this diversity: R. Menahem Azaria da Fano proposed a harmonistic method in which divergent theosophical positions are not truly at odds but rather reflect a single truth. R. Menahem di Lonzano disagreed and instead viewed the diversity of the Lurianic corpus as reflective of the distinct personal opinions of Luria's students. In this article, I show how these two kabbalists used their respective approaches to impose order upon the corpus and to elicit a unified message from the diversity.  © 2022 Koninklijke Brill NV, Leiden.","authorship; early modern Kabbalah; Lurianic Kabbalah; Menahem Azaria da Fano; Menahem di Lonzano","","Brill Academic Publishers","","","","","","1053699X","","","Article","Final","","Scopus","2-s2.0-85140444035"
"Tirumala K.; Simig D.; Aghajanyan A.; Morcos A.S.","Tirumala, Kushal (57208029313); Simig, Daniel (57386699400); Aghajanyan, Armen (57195403227); Morcos, Ari S. (56946640900)","57208029313; 57386699400; 57195403227; 56946640900","D4: Improving LLM Pretraining via Document De-Duplication and Diversification","2023","Advances in Neural Information Processing Systems","36","","","","","","46","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205690630&partnerID=40&md5=ed47db79cd84c391e56321df44439f0d","Meta AI Research, United States","Tirumala K., Meta AI Research, United States; Simig D., Meta AI Research, United States; Aghajanyan A., Meta AI Research, United States; Morcos A.S., Meta AI Research, United States","Over recent years, an increasing amount of compute and data has been poured into training large language models (LLMs), usually by doing one-pass learning on as many tokens as possible randomly selected from large-scale web corpora. While training on ever-larger portions of the internet leads to consistent performance improvements, the size of these improvements diminishes with scale, and there has been little work exploring the effect of data selection on pre-training and downstream performance beyond simple de-duplication methods such as MinHash. Here, we show that careful data selection (on top of de-duplicated data) via pre-trained model embeddings can speed up training (20% efficiency gains) and improves average downstream accuracy on 16 NLP tasks (up to 2%) at the 6.7B model scale. Furthermore, we show that repeating data intelligently consistently outperforms baseline training (while repeating random data performs worse than baseline training). Our results indicate that clever data selection can significantly improve LLM pre-training, calls into question the common practice of training for a single epoch on as much data as possible, and demonstrates a path to keep improving our models past the limits of randomly sampling web data. © 2023 Neural information processing systems foundation. All rights reserved.","","Data assimilation; Data handling; Spatio-temporal data; Websites; Consistent performance; Data Selection; Deduplication; Down-stream; Language model; Large-scales; One-pass; Performance; Pre-training; Web Corpora; Data accuracy","Neural information processing systems foundation","","37th Conference on Neural Information Processing Systems, NeurIPS 2023","10 December 2023 through 16 December 2023","New Orleans","198465","10495258","978-171389992-1","","Conference paper","Final","","Scopus","2-s2.0-85205690630"
"Guerra-Lyons J.; Benítez T.; Pérez A.; Rosado N.","Guerra-Lyons, Jesús (57220205171); Benítez, Teresa (57202042630); Pérez, Adriana (57212530344); Rosado, Nayibe (57219289487)","57220205171; 57202042630; 57212530344; 57219289487","Towards Growing Control of Factorial Explanations: Reflections from a Genre-Based Course Experience in Colombia; [Hacia un Mayor Control de las Explicaciones Factoriales: Reflexiones sobre una Experiencia en un Curso Basado en Géneros Textuales en Colombia]","2023","Revista Signos","56","112","","260","281","21","2","10.4067/S0718-09342023000200260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170712760&doi=10.4067%2fS0718-09342023000200260&partnerID=40&md5=4254e4570977a118f52c0de2cdad4b4d","Universidad Del Norte, Colombia","Guerra-Lyons J., Universidad Del Norte, Colombia; Benítez T., Universidad Del Norte, Colombia; Pérez A., Universidad Del Norte, Colombia; Rosado N., Universidad Del Norte, Colombia","This paper explores qualitative changes in freshmen’s writing of factorial explanations throughout a genre-based syllabus implemented within a year in a Spanish L1 writing course offered at a Colombian university. The aim was to assess the extent to which explicit modelled and scaffolded writing of generic exemplars resulted in freshmen’s appropriation of the generic features of the target genre. The analysis of independently produced instances showed students’ appropriation of the contextual structure of factorial explanations as well as adequate control of textual and ideational resources for making meaning across generic stages and phases. We discuss findings in connection with the contribution of Genre Based Literacy Pedagogy in the development of reading and writing skills in initial literacy education at the university level. © 2023 PUCV, Chile","Academic literacy; Alfabetización académica; explicaciones factoriales; factorial explanations; genre-based pedagogy; lingüística sistémico-funcional; pedagogía de géneros textuales; systemic functional linguistics","","Ediciones Universitarias de Valparaiso","","","","","","00350451","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85170712760"
"Wang S.; Mei Y.; Zhang M.","Wang, Shaolin (57211035660); Mei, Yi (37066417800); Zhang, Mengjie (8729040400)","57211035660; 37066417800; 8729040400","Local ranking explanation for genetic programming evolved routing policies for uncertain capacitated Arc routing problems","2022","GECCO 2022 - Proceedings of the 2022 Genetic and Evolutionary Computation Conference","","","","314","322","8","3","10.1145/3512290.3528723","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135225263&doi=10.1145%2f3512290.3528723&partnerID=40&md5=e27a962783c1f1f231854486a2fdb1d3","Victoria University of Wellington, Wellington, New Zealand","Wang S., Victoria University of Wellington, Wellington, New Zealand; Mei Y., Victoria University of Wellington, Wellington, New Zealand; Zhang M., Victoria University of Wellington, Wellington, New Zealand","The Uncertain Capacitated Arc Routing Problem (UCARP) is a well-known combinatorial optimisation problem that has many real-world applications. Genetic Programming is usually utilised to handle UCARP by evolving effective routing policies, which can respond to the uncertain environment in real-time. Previous studies mainly focus on the effectiveness of the routing policies but ignore the interpretability. In this paper, we focus on post-hoc interpretability, which explains a pre-trained complex routing policy. Unlike the existing explanation methods for classification/regression models, the behaviour of a routing policy is characterised as a ranking process rather than predicting a single output. To address this issue, this paper proposes a Local Ranking Explanation (LRE) method for GP-evolved routing policies for UCARP. Given a UCARP decision situation, LRE trains a linear model that gives the same ranks of the candidate tasks as those of the explained routing policy. The experimental results demonstrate that LRE can obtain more interpretable linear models that have highly correlated and consistent behaviours with the original routing policy in most decision situations. By analysing coefficients and attribute importance of the linear model, we managed to provide a local explanation of the original routing policy in a decision situation.  © 2022 ACM.","Genetic Programming; Hyper-Heuristic; Local explanation; Uncertain Capacitated Arc Routing Problem","Combinatorial optimization; Genetic algorithms; Network routing; Capacitated arc routing problem; Combinatorial optimization problems; Decision situation; Hyper-heuristics; Interpretability; Linear modeling; Local explanation; Real-world; Routing policies; Uncertain capacitated arc routing problem; Genetic programming","Association for Computing Machinery, Inc","ACM SIGEVO","2022 Genetic and Evolutionary Computation Conference, GECCO 2022","9 July 2022 through 13 July 2022","Virtual, Online","180742","","978-145039237-2","","Conference paper","Final","","Scopus","2-s2.0-85135225263"
"Barquero P.O.; Jiménez A.M.R.; Ugarte B.A.","Barquero, Pablo Ortiz (57217147235); Jiménez, Antonia María Ruiz (52165215100); Ugarte, Beatriz Acha (57204601182)","57217147235; 52165215100; 57204601182","Explaining the electoral performance of radical right parties in Europe (2008-2019): a fuzzy-set Qualitative Comparative Analysis; [Explicando el rendimiento electoral de los partidos de derecha radical en Europa (2008-2019): un análisis cualitativo comparado difuso]","2022","Politica y Sociedad","59","1","e75578","","","","0","10.5209/poso.75578","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128636660&doi=10.5209%2fposo.75578&partnerID=40&md5=b2e1dd96b28e44170896a69852e3c7cd","Universidad Pablo de Olavide, Spain; Universidad Del País Vasco, Euskal Herriko Unibertsitatea, Spain","Barquero P.O., Universidad Pablo de Olavide, Spain; Jiménez A.M.R., Universidad Pablo de Olavide, Spain; Ugarte B.A., Universidad Del País Vasco, Euskal Herriko Unibertsitatea, Spain","Although radical right parties have been extensively examined since their significant breakthrough in the European political arena in the late 80s, not enough attention has been paid to the reasons behind their unequal electoral performance (or in other words, to the cross-national and within-national variations of their success). The aim of this research is to identify the different scenarios of electoral success for radical right parties in ten European countries between 2008 and 2019. Using fuzzy-set Qualitative Comparative Analysis (fsQCA) - a case-oriented technique which allows indepth comparative examination and which is based on the concepts of equifinality and causal heterogeneity -, we test the role of several causal conditions related to some demand-side and supply-side explanations. Our results reveal four sufficient causal paths that lead to the success of these parties, which confirm that they are able to achieve relevance in quite diverse contexts. The four paths combine both demand-side and supply-side conditions, but the role of the latter is qualitatively and quantitatively more important. In particular, we see how radical right parties can effectively take advantage of favorable political competitive dynamics, even in the absence of a priori favorable socio-economic contexts. Overall, our findings run contrary to some mechanistic explanations in the literature and support the idea of conceiving of the radical right parties as a complex, multiform phenomenon which needs to be understood through both theoretical and methodological innovations. © 2022 Universidad Complutense de Madrid. All rights reserved.","configurational analysis; electoral performance; fsQCA; radical right; Western Europe","","Universidad Compultense Madrid","","","","","","11308001","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85128636660"
"Chabchoub I.; Litaiem N.; Gara S.; Jaber K.; Dhaoui M.A.; Zeglaoui F.","Chabchoub, Ines (57211020764); Litaiem, Noureddine (55771774200); Gara, Soumaya (57212512704); Jaber, Kahena (24492312800); Dhaoui, Mohamed Abderraouf (6603425607); Zeglaoui, Faten (56211759000)","57211020764; 55771774200; 57212512704; 24492312800; 6603425607; 56211759000","Assessing the validity and interpretability of the Simplified Psoriasis Index in Tunisian patients; [Évaluation de la validité et de l’interprétabilité de l’indice simplifié du psoriasis chez les patients tunisiens]","2022","Tunisie Medicale","100","1","","49","55","6","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129531505&partnerID=40&md5=4db8b4608a1438bef4b3423e9742c296","Service de Dermatologie, Hôpital Charles Nicolle de Tunis, Faculté de Médecine de Tunis, Université Tunis el Manar, Tunisia; Service de Dermatologie, Hôpital Militaire de Tunis, Faculté de Médecine de Tunis, Université Tunis el Manar, Tunisia","Chabchoub I., Service de Dermatologie, Hôpital Charles Nicolle de Tunis, Faculté de Médecine de Tunis, Université Tunis el Manar, Tunisia; Litaiem N., Service de Dermatologie, Hôpital Charles Nicolle de Tunis, Faculté de Médecine de Tunis, Université Tunis el Manar, Tunisia; Gara S., Service de Dermatologie, Hôpital Charles Nicolle de Tunis, Faculté de Médecine de Tunis, Université Tunis el Manar, Tunisia; Jaber K., Service de Dermatologie, Hôpital Militaire de Tunis, Faculté de Médecine de Tunis, Université Tunis el Manar, Tunisia; Dhaoui M.A., Service de Dermatologie, Hôpital Militaire de Tunis, Faculté de Médecine de Tunis, Université Tunis el Manar, Tunisia; Zeglaoui F., Service de Dermatologie, Hôpital Charles Nicolle de Tunis, Faculté de Médecine de Tunis, Université Tunis el Manar, Tunisia","Introduction: Multiple scores have been developed to assess the severity of psoriasis, but these scores have many limitations. The Simplified Psoriasis Index (SPI) is a summary score with separate components for current severity (SPI-s), psychosocial impact (SPI-p), and past history and interventions (SPI-i). It is available in two similar versions: proSPI and saSPI. Aim: To assess the validity of the SPI by studying its correlation to the benchmark scores in Tunisian patients. Methods: It was a prospective bicentric study including 80 patients with plaque psoriasis. Results: The median PASI was 7.6 and the median DLQI was 9. The median proSPI-s was 6 and the median saSPI-s was 8. The median SPI-p was 7. The median SPI-i was 2. There was a strong correlation between the proSPI-s and PASI (r=0.87) and between the proSPI-s and saSPI-s (r=0.82). There was a medium correlation between saSPI-s and PASI (r=0.70) and between SPI-p and DLQI (r=0.67). The threshold value for proSPI-s and saSPI-s was 7.25. The threshold value for SPI-p was 6.5. Conclusion: The SPI aims to provide a concise but global measure of the severity and impact of psoriasis on quality of life. The use of SPI has several advantages: the simplicity of use, the additional weight given to critical locations of psoriasis, the possibility for the patient to self-assess his own disease, and the possibility of evaluating all the dimensions of psoriasis at the same time. © 2022 Maison du Medicine. All rights reserved.","Psoriasis; quality of life; severity","Benchmarking; Humans; Prospective Studies; Psoriasis; Quality of Life; Severity of Illness Index; adult; aged; Article; cross-sectional study; cycle threshold value; Dermatology Life Quality Index; disease severity; female; histopathology; human; major clinical study; male; middle aged; psoriasis; Psoriasis Area and Severity Index; quality of life; questionnaire; simplified psoriasis index; Tunisian; validity; young adult; benchmarking; prospective study; psoriasis; psychology; quality of life; severity of illness index","Societe Tunisienne des Sciences Medicales","","","","","","00414131","","TUMEA","Article","Final","","Scopus","2-s2.0-85129531505"
"Cho J.","Cho, Jaewoo (56501032200)","56501032200","A Token Economics Explanation for the De-Pegging of the Algorithmic Stablecoin: Analysis of the Case of Terra","2023","Ledger","8","","","27","36","9","4","10.5195/LEDGER.2023.283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159438464&doi=10.5195%2fLEDGER.2023.283&partnerID=40&md5=384657e0714073e9afa20533c05d0a8a","Social Science, Hansung University, South Korea","Cho J., Social Science, Hansung University, South Korea","The collapse of Terra's algorithmic stablecoin UST shocked the cryptocurrency market. This study investigates the underlying causes of the de-pegging event through an in-depth analysis of the token economics of the Terra blockchain. Using on-chain data, this study identifies a misalignment in the economic incentive structure of the blockchain protocol as a key contributor to the de-pegging. It is found that an undercompensation of UST when it was redeemed played a significant role in the de-pegging event, with the UST price on cryptocurrency exchanges following the redeemed value of UST that users could obtain by swapping UST for LUNA and selling it on the market. The results highlight the importance of properly designing the incentive structure of blockchain protocols to ensure their sustainability and security. © 2023 the Author(s)","","","University Library System, University of Pittsburgh","","","","","","23795980","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85159438464"
